"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"619460682933764096","","","2015-07-10 10:58:30 +0000","<a href=""http://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>","Tabula Rasa - Zo af en toe moet een mens eens schoon schip maken en terug van 0 af aan beginnen. Dat er... http://t.co/USWfF4leJm","","","","http://tmblr.co/Z49H_x1pEAc-n"
"619423545085591552","","","2015-07-10 08:30:56 +0000","<a href=""http://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>","Prison 15H - Oktober 2012, half 5 ’s ochtends. Op de parking van een grootwarenhuis verzamelen 4 urban... http://t.co/0xE1CAkP0y","","","","http://tmblr.co/Z49H_x1pDt1xS"
"617201908034445312","","","2015-07-04 05:22:56 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","Switzerland baby! (@ E35 to Basel in Basel) https://t.co/4uZsSQHXLG","","","","https://www.swarmapp.com/c/1J4fQtsEt2b"
"613974430067359744","","285239241","2015-06-25 07:38:05 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@PieterBaert als het iets meer barebone WP mag zijn is er ook nog _S en aanverwante projecten op Github.","","","",""
"613811432401039360","613628715025756160","285239241","2015-06-24 20:50:24 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@PieterBaert thesis theme misschien? Of Genesis? Makkelijk te customizen.","","","",""
"613304643142090752","","","2015-06-23 11:16:36 +0000","<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","Tabula rasa http://t.co/6qa7lsmWnt","","","","http://www.colpaert.org/2015/06/23/tabula-rasa/"
"604975481163776001","","","2015-05-31 11:39:29 +0000","<a href=""http://www.tweekly.fm/"" rel=""nofollow"">Tweekly.fm</a>","My Top 3 #lastfm Artists: Joan Baez (8), Paul Hardcastle (1) &amp; Larry Verne (1) #last.fm http://t.co/X1QEcD4jFK","","","","http://bit.ly/gnYiga"
"603955628898410497","","","2015-05-28 16:06:57 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Try talking on the pitch netxt time #Rolando, you're results were @rscanderlecht unworthy @epteixeira","","","",""
"602401428745887745","","","2015-05-24 09:11:07 +0000","<a href=""http://www.tweekly.fm/"" rel=""nofollow"">Tweekly.fm</a>","My Top 2 #lastfm Artists: The Smiths (22) &amp; The National (1) #last.fm http://t.co/X1QEcD4jFK","","","","http://bit.ly/gnYiga"
"601410674963644416","601388999404486658","137717933","2015-05-21 15:34:13 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@kerstenbreyne zei je iets Kersten? :-)","","","",""
"597339881195642882","","","2015-05-10 09:58:20 +0000","<a href=""http://www.tweekly.fm/"" rel=""nofollow"">Tweekly.fm</a>","My Top 3 #lastfm Artists: Major Lazer (15), The National (3) &amp; Crazy Town (1) #last.fm http://t.co/X1QEcD4jFK","","","","http://bit.ly/gnYiga"
"594834822914244608","","","2015-05-03 12:04:07 +0000","<a href=""http://www.tweekly.fm/"" rel=""nofollow"">Tweekly.fm</a>","My Top 3 #lastfm Artists: The Jon Spencer Blues Explosion (2), Paul Mauriat (1) &amp; David Rose (1) #last.fm http://t.co/X1QEcD4jFK","","","","http://bit.ly/gnYiga"
"592315188403142657","","","2015-04-26 13:12:00 +0000","<a href=""http://www.tweekly.fm/"" rel=""nofollow"">Tweekly.fm</a>","My Top 3 #lastfm Artists: Nostalgie The Big 5 (11), Orchestra Harlow (3) &amp; Lightnin' Hopkins (2) #last.fm http://t.co/X1QEcD4jFK","","","","http://bit.ly/gnYiga"
"589831811485806592","","","2015-04-19 16:43:57 +0000","<a href=""http://www.tweekly.fm/"" rel=""nofollow"">Tweekly.fm</a>","My Top 2 #lastfm Artists: Ryan Adams (10) &amp; Boy &amp; Bear (8) #last.fm http://t.co/X1QEcD4jFK","","","","http://bit.ly/gnYiga"
"587373061164429312","","","2015-04-12 21:53:45 +0000","<a href=""http://www.tweekly.fm/"" rel=""nofollow"">Tweekly.fm</a>","My Top 3 #lastfm Artists: Sia (12), Alex Ferrari (2) &amp; Eurythmics (1) #last.fm http://t.co/X1QEcD4jFK","","","","http://bit.ly/gnYiga"
"584632684514832384","","","2015-04-05 08:24:28 +0000","<a href=""http://www.tweekly.fm/"" rel=""nofollow"">Tweekly.fm</a>","My Top 3 #lastfm Artists: Iron Maiden (8), Simple Minds (4) &amp; Imagine Dragons (2) #last.fm http://t.co/X1QEcD4jFK","","","","http://bit.ly/gnYiga"
"583921745943523328","","","2015-04-03 09:19:27 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Twitter bewijst nog maar eens dat de enige ""grondstroom"" in Vlaanderen een riool is #stevaert","","","",""
"582159179634380800","","","2015-03-29 12:35:39 +0000","<a href=""http://www.tweekly.fm/"" rel=""nofollow"">Tweekly.fm</a>","My Top 3 #lastfm Artists: Imagine Dragons (13), Nick Cave &amp; The Bad Seeds (8) &amp; Vuurwerk (3) #last.fm http://t.co/X1QEcD4jFK","","","","http://bit.ly/gnYiga"
"582139492087255040","","","2015-03-29 11:17:25 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @ericgoens: Berber, Berber, Congolees, Congolees, Waal. 5-0.","581933195526082560","39515804","2015-03-28 21:37:40 +0000",""
"580267211287367681","","","2015-03-24 07:17:38 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","#datanews leest er eigenlijk nog iemand dat?","","","",""
"580053783213948928","","","2015-03-23 17:09:33 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","RT @MelkMuylle: Het begint te lukken om geveinsde interesse op te wekken als iemand zegt dat het de mooiste dag van zijn leven was omdat Cl…","579988321067208704","425087382","2015-03-23 12:49:26 +0000",""
"579565205409128448","","","2015-03-22 08:48:07 +0000","<a href=""http://www.tweekly.fm/"" rel=""nofollow"">Tweekly.fm</a>","My Top 3 #lastfm Artists: Alphaville (3), Joy Division (1) &amp; Nancy Sinatra (1) #last.fm http://t.co/X1QEcD4jFK","","","","http://bit.ly/gnYiga"
"578569152765497344","","","2015-03-19 14:50:09 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Learning curve for text editors :-) http://t.co/B9hvOvAZVy","","","","http://twitter.com/Kcolpaert/status/578569152765497344/photo/1"
"577735781151834112","","","2015-03-17 07:38:38 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","Happy St. Patrick's Day!","","","",""
"577570381583802368","","","2015-03-16 20:41:24 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Picking up some #statistics again with R and Rstudio. I always love a good pie chart :-) http://t.co/J4wHVejVi0","","","","http://twitter.com/Kcolpaert/status/577570381583802368/photo/1"
"577154588337389568","","","2015-03-15 17:09:11 +0000","<a href=""http://www.tweekly.fm/"" rel=""nofollow"">Tweekly.fm</a>","My Top 2 #lastfm Artists: Japan (4) &amp; Leonard Cohen (1) #last.fm http://t.co/X1QEcD4jFK","","","","http://bit.ly/gnYiga"
